iter	Passed	Remaining
0	1	162
1	3	175
2	4	157
3	5	136
4	6	126
5	7	116
6	8	110
7	9	104
8	9	99
9	10	94
10	11	91
11	11	87
12	12	85
13	13	85
14	14	84
15	15	82
16	16	81
17	17	79
18	19	81
19	20	80
20	20	78
21	22	78
22	23	78
23	24	78
24	26	78
25	27	78
26	29	79
27	30	78
28	31	76
29	32	75
30	33	74
31	34	73
32	35	71
33	36	70
34	37	68
35	37	67
36	38	65
37	39	64
38	40	62
39	40	61
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	50	48
51	51	47
52	52	46
53	53	45
54	53	44
55	54	42
56	55	41
57	56	40
58	57	39
59	58	39
60	59	38
61	61	37
62	62	36
63	63	35
64	65	35
65	66	34
66	68	33
67	70	32
68	71	31
69	72	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	77	23
77	78	22
78	80	21
79	80	20
80	81	19
81	83	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	89	12
88	89	11
89	91	10
90	92	9
91	92	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	101	1
99	101	0
