iter	Passed	Remaining
0	153	153192
1	154	77212
2	156	51901
3	157	39238
4	159	31664
5	160	26525
6	161	22894
7	162	20193
8	164	18123
9	166	16507
10	168	15113
11	169	13967
12	171	12990
13	172	12182
14	173	11415
15	175	10769
16	176	10208
17	177	9707
18	179	9274
19	181	8895
20	184	8608
21	186	8271
22	187	7945
23	188	7659
24	189	7393
25	191	7179
26	192	6954
27	193	6725
28	194	6519
29	195	6328
30	197	6164
31	198	6006
32	199	5860
33	201	5715
34	202	5589
35	204	5464
36	205	5343
37	206	5224
38	207	5118
39	209	5020
40	210	4920
41	211	4833
42	214	4769
43	215	4686
44	217	4606
45	218	4527
46	219	4442
47	219	4361
48	220	4284
49	222	4221
50	223	4153
51	224	4088
52	225	4027
53	226	3967
54	228	3919
55	230	3886
56	231	3834
57	232	3781
58	233	3731
59	235	3684
60	236	3646
61	238	3601
62	238	3554
63	240	3520
64	241	3479
65	242	3436
66	243	3393
67	244	3357
68	246	3323
69	247	3287
70	248	3251
71	249	3219
72	250	3186
73	251	3151
74	252	3118
75	253	3086
76	254	3056
77	256	3026
78	257	2996
79	258	2968
80	259	2941
81	260	2914
82	260	2883
83	261	2856
84	263	2831
85	264	2806
86	265	2781
87	266	2759
88	267	2738
89	268	2713
90	269	2688
91	270	2665
92	271	2645
93	273	2635
94	274	2615
95	275	2593
96	276	2576
97	277	2556
98	278	2538
99	280	2522
100	281	2506
101	282	2487
102	283	2469
103	284	2449
104	285	2430
105	285	2411
106	286	2393
107	287	2376
108	288	2359
109	290	2346
110	290	2330
111	292	2315
112	293	2300
113	293	2284
114	294	2268
115	295	2253
116	296	2238
117	297	2225
118	298	2211
119	299	2199
120	301	2186
121	301	2172
122	303	2161
123	304	2152
124	305	2141
125	307	2130
126	308	2119
127	309	2106
128	310	2096
129	311	2085
130	312	2074
131	313	2063
132	314	2051
133	315	2040
134	316	2030
135	318	2023
136	319	2013
137	320	2002
138	322	1994
139	322	1984
140	323	1972
141	324	1959
142	325	1949
143	326	1939
